Запрос,Спрос,Tier,Целевая страница,Флаг,ИсхКатегория
тату сертификат,2796,EXCLUDE,"тату-сертификат (потребит., не печать)","тату-сертификат (потребит., не печать)",PRINT
тату сертификат подарочный,763,EXCLUDE,"тату-сертификат (потребит., не печать)","тату-сертификат (потребит., не печать)",PRINT
печать сертификатов,725,Tier-3,/certificates (хаб),,PRINT
подарочные сертификаты печать,597,Tier-1,/certificates/gift,,PRINT
печать грамот москва,513,STANDALONE,грамоты (→/awards),грамоты (→/awards),PRINT
печать сертификатов в москве,497,Tier-3,/certificates (хаб),,PRINT
распечатка документов,361,EXCLUDE,копицентр/документы,копицентр/документы,PRINT
тату сертификаты,319,EXCLUDE,"тату-сертификат (потребит., не печать)","тату-сертификат (потребит., не печать)",PRINT
подарочный сертификат на заказ,309,Tier-1,/certificates/gift,,PRINT
изготовление сертификатов,261,Tier-3,/certificates (хаб),,PRINT
печать сертификатов москва,125,Tier-3,/certificates (хаб),,PRINT
печать подарочных сертификатов,105,Tier-1,/certificates/gift,,PRINT
сертификат на фотокнигу,102,STANDALONE,фотокниги (→/photobooks),фотокниги (→/photobooks),PRINT
печать сертификата на плотной бумаге,88,Tier-3,/certificates (хаб),,PRINT
печать сертификатов а4,83,Tier-3,/certificates (хаб),,PRINT
печать диплома москва,71,STANDALONE,дипломы (→/diplomas),дипломы (→/diplomas),PRINT
заказ сертификатов,68,Tier-3,/certificates (хаб),,PRINT
печать сертификаты,65,Tier-3,/certificates (хаб),,PRINT
печать дипломов и грамот цены москва,65,STANDALONE,грамоты (→/awards),грамоты (→/awards),PRINT
типография чехов,65,EXCLUDE,бренд-конкурент,бренд-конкурент,PRINT
печать подарочных сертификатов москва,58,Tier-1,/certificates/gift,,PRINT
подарочные сертификаты на заказ,52,Tier-1,/certificates/gift,,PRINT
заказать подарочные сертификаты типография,51,Tier-1,/certificates/gift,,PRINT
подарочный сертификат на фотокнигу,51,STANDALONE,фотокниги (→/photobooks),фотокниги (→/photobooks),PRINT
рельефная печать заказать,44,Tier-2,/certificates/relief,рельеф/тиснение/материалы,PRINT
сертификаты на заказ,42,Tier-3,/certificates (хаб),,PRINT
сертификат на печать фотокниги,36,STANDALONE,фотокниги (→/photobooks),фотокниги (→/photobooks),PRINT
напечатать грамоту,36,STANDALONE,грамоты (→/awards),грамоты (→/awards),PRINT
заказать печать сертификатов,35,Tier-3,/certificates (хаб),,PRINT
размер сертификата,31,Tier-3,/certificates (хаб),,PRINT
29,29,Tier-3,/certificates (хаб),,PRINT
типография печать сертификатов,28,Tier-3,/certificates (хаб),,PRINT
печать сертификата,27,Tier-3,/certificates (хаб),,PRINT
распечатать сертификаты,25,Tier-3,/certificates (хаб),,PRINT
заказ печать сертификата,24,Tier-3,/certificates (хаб),,PRINT
изготовление сертификатов москва,23,Tier-3,/certificates (хаб),,PRINT
изготовление подарочных сертификатов с конвертом на заказ,23,Tier-1,/certificates/gift,,PRINT
распечатать сертификат подарочный,23,Tier-1,/certificates/gift,,PRINT
печать сертификатов цена,22,Tier-3,/certificates (хаб),,PRINT
изготовление сертификатов на заказ,22,Tier-3,/certificates (хаб),,PRINT
распечатать документ рядом со мной,22,EXCLUDE,копицентр/документы,копицентр/документы,PRINT
сертификат антидвойка,22,EXCLUDE,мем/нерелевант,мем/нерелевант,PRINT
подарочный сертификат заказать изготовление,21,Tier-1,/certificates/gift,,PRINT
нетпринт сертификат,21,EXCLUDE,бренд-конкурент,бренд-конкурент,PRINT
срочная печать сертификатов,20,Tier-3,/certificates (хаб),,PRINT
печать сертификатов enjoyprint.ru,20,EXCLUDE,бренд-конкурент,бренд-конкурент,BRANDED
печать дипломов и сертификатов,18,Tier-3,/certificates (хаб),,PRINT
печать сертификатов pmg,18,EXCLUDE,бренд-конкурент,бренд-конкурент,BRANDED
где можно распечатать документы с телефона,18,EXCLUDE,копицентр/документы,копицентр/документы,PRINT
печать сертификатов на ипринт ру,17,Tier-3,/certificates (хаб),,PRINT
