host,pages_count,queries_sum
m.avito.ru,115,281
izoproekt.ru,6,250
digital-printing.ru,13,199
coral-print.ru,32,152
printkov.ru,6,142
kopirka.ru,19,140
printhit.org,11,116
enjoyprint.ru,15,109
copy.ru,16,103
tipografia-gorod.ru,12,97
gmprint.ru,7,96
printut.com,16,89
irm1.ru,5,82
profi.ru,33,73
mdmprint.ru,23,72
di-project.studio,8,71
yandex.ru,32,69
vyatka-it.ru,12,67
2gis.ru,29,65
limtek.ru,3,64
projectorprint.ru,5,63
avito.ru,29,62
ozon.ru,21,61
iprint.ru,9,56
supa.ru,2,54
speedy-print.ru,5,52
dpl-print.ru,14,51
uslugi.yandex.ru,33,50
mnogoland.ru,4,49
ok-press.ru,4,48
multifoto.ru,12,47
zsa-print.ru,7,47
niceprint.ru,5,46
print24.su,1,46
icolorit.ru,11,44
tpsprint.ru,9,43
unopress.ru,4,41
masterhtml.ru,5,37
fotor.com,1,36
pmg.ru,16,36
printdirect.ru,2,34
softmg.ru,9,33
tilda.cc,12,33
drawcon.ru,3,33
goldenstudio.ru,2,31
wilda.ru,2,30
veonix.ru,7,30
kwork.ru,8,29
50k.ru,4,28
printb.ru,1,27
vc.ru,10,27
fsfera.ru,1,26
fastprint.info,3,26
a-cifra.ru,5,26
sajt-vizitka-nedorogo.ru,1,26
on-target.pro,6,24
giprint.ru,3,24
study24.ai,1,24
ingate.ru,4,23
ru-cafe.ru,2,22
mosseo.ru,9,22
editor.printdesign.ru,2,22
online.visual-paradigm.com,2,22
bmmedia.ru,6,21
printdesign.ru,2,21
wildberries.ru,10,21
optpoligraf.ru,6,21
gcprint.ru,8,21
myqrcards.com,6,21
ru.freepik.com,12,21
fineart-print.ru,9,20
flyvi.io,2,19
artikul.ru,2,19
blagoit.com,6,18
sky.pro,13,18
zoon.ru,7,18
sergeev.studio,2,17
poligrafiya-moscow.ru,2,17
tprint.ru,9,17
printomat.ru,3,16
divly.ru,3,15
stk-promo.com,4,15
advertpro.ru,6,15
dzen.ru,13,15
apd52.ru,2,15
ottisk.com,5,15
fasol.studio,4,14
litera.studio,2,14
cityblank.ru,2,14
printside.ru,4,14
seaccelerator.ru,4,14
nethouse.ru,3,13
webit.ru,4,13
demis.ru,4,13
gut-farbe.ru,6,13
yuppieprint.ru,6,13
mospechat.com,4,13
photohotel.ru,3,12
habr.com,9,12
unisender.com,6,12
vp24-print.ru,2,12
printin.site,1,12
