host,pages_count,queries_sum
m.avito.ru,345,749
izoproekt.ru,19,668
digital-printing.ru,38,542
kopirka.ru,66,416
tipografia-gorod.ru,43,369
coral-print.ru,79,367
printkov.ru,19,348
tpsprint.ru,61,310
enjoyprint.ru,48,309
printhit.org,36,289
gmprint.ru,30,268
copy.ru,53,264
irm1.ru,20,232
mdmprint.ru,67,203
projectorprint.ru,14,192
yandex.ru,98,192
dpl-print.ru,54,191
iprint.ru,39,161
niceprint.ru,25,160
2gis.ru,71,157
print24.su,9,155
zsa-print.ru,21,141
ozon.ru,43,140
speedy-print.ru,11,138
multifoto.ru,41,134
avito.ru,65,129
printut.com,27,122
profi.ru,62,118
ok-press.ru,10,117
unopress.ru,20,113
uslugi.yandex.ru,66,108
giprint.ru,15,94
icolorit.ru,25,92
pmg.ru,46,89
optpoligraf.ru,23,84
printdirect.ru,8,83
printb.ru,6,73
printside.ru,16,72
di-project.studio,8,71
50k.ru,12,71
fsfera.ru,7,70
vyatka-it.ru,12,67
ru-cafe.ru,7,66
fastprint.info,8,65
limtek.ru,3,64
a-cifra.ru,17,61
supa.ru,4,60
veonix.ru,10,51
printdesign.ru,7,50
mnogoland.ru,4,49
tprint.ru,25,48
fineart-print.ru,23,48
kwork.ru,15,46
gcprint.ru,17,46
litera.studio,8,42
poligrafiya-moscow.ru,8,41
fotor.com,3,40
zzpost.ru,13,40
masterhtml.ru,7,39
apd52.ru,8,39
mospechat.com,11,39
zoon.ru,15,38
mscomprint.ru,20,37
ottisk.com,15,36
printomat.ru,10,35
drawcon.ru,4,34
des-print.ru,16,34
softmg.ru,9,33
tilda.cc,12,33
cityblank.ru,8,33
wilda.ru,4,32
wildberries.ru,17,32
photohotel.ru,10,31
yuppieprint.ru,13,31
goldenstudio.ru,2,31
vp24-print.ru,6,29
vc.ru,11,28
printsreda.ru,13,27
ru.freepik.com,18,27
opt-poligraf.ru,12,27
sajt-vizitka-nedorogo.ru,1,26
gut-farbe.ru,16,26
on-target.pro,6,24
study24.ai,1,24
offset.moscow,8,24
ingate.ru,4,23
editor.printdesign.ru,3,23
republica.ru,9,23
printio.ru,5,23
flyvi.io,4,23
online.visual-paradigm.com,3,23
copygeneral.ru,13,23
mosseo.ru,9,22
tformat.ru,6,22
print-xp.ru,10,22
stolitsaprint.ru,14,22
bmmedia.ru,6,21
sky.pro,15,21
artikul.ru,4,21
ddsi.ru,6,21
myqrcards.com,6,21
folioprint.ru,13,19
market.yandex.ru,19,19
blagoit.com,6,18
prepres.ru,8,18
sergeev.studio,2,17
dzen.ru,15,17
1ppc.ru,7,17
kadrof.ru,5,17
pechatik.ru,9,17
deshevo-vizitki.ru,8,17
copy.spb.ru,12,17
mosgorprint.com,6,16
secretus.ru,7,16
divly.ru,3,15
stk-promo.com,4,15
advertpro.ru,6,15
fasol.studio,4,14
direct.yandex.ru,6,14
seaccelerator.ru,4,14
master-vizitok.ru,7,14
kingcard.ru,4,14
pappermint.ru,9,14
m.vk.com,14,14
nethouse.ru,3,13
webit.ru,4,13
unisender.com,7,13
demis.ru,4,13
prodv.pro,5,13
printin.site,2,13
pomidorprint.ru,5,13
orgpage.ru,4,13
rw24.ru,4,13
yell.ru,5,13
habr.com,9,12
ideaprint.ru,4,12
ukit.com,4,11
xn--e1aaticq.xn--p1ai,2,11
freelance.ru,6,11
youdo.com,7,11
