query,cluster,group,demand,comp,category
промокод фонбет,промокод фонбет,,28279,,PRINT
промокод ситилинк,промокод ситилинк,,18418,,PRINT
купоны теремок,купоны теремок,,17904,,PRINT
теремок купоны,купоны теремок,,16215,,PRINT
промокод тануки,промокод тануки,,15629,,PRINT
промокод мелбет,мелбет промокод,,12450,,PRINT
вкусвилл промокод,промокод вкусвилл,,10962,,PRINT
купоны яндекс маркет,промокод яндекс маркет,,9360,,PRINT
тануки промокод,промокод тануки,,9334,,PRINT
промокод на фонбет на сегодня,промокод фонбет,,6725,,PRINT
фонбет промокоды,промокод фонбет,,6367,,PRINT
купон яндекс маркет,промокод яндекс маркет,,6166,,PRINT
промокод додо,промокод додо пицца,,6096,,PRINT
промокод на фонбет,промокод фонбет,,5712,,PRINT
промокоды яндекс еда,промокод яндекс еда,,5656,,PRINT
купоны кфс,купоны кфс,,5604,,PRINT
промокод хофф,промокод хофф,,5206,,PRINT
купикупон,купикупон,,4835,,PRINT
промокод для новых пользователей фонбет,промокод фонбет,,3896,,PRINT
промокод для фонбет на сегодня,промокод фонбет,,3733,,PRINT
ростикс купоны,купоны кфс,,3633,,PRINT
промокод hoff,промокод хофф,,3461,,BRANDED
кфс купоны,купоны кфс,,3460,,PRINT
промокод на яндекс путешествия отели 2025,промокод яндекс путешествия,,3387,,PRINT
купоны ростикс,купоны кфс,,3378,,PRINT
купоны теремок москва,купоны теремок,,3376,,PRINT
теремок купоны москва,купоны теремок,,2650,,PRINT
промокоды додо пицца,промокод додо пицца,,2498,,PRINT
ламода промокод,промокод ламода,,2497,,PRINT
купон теремок,купоны теремок,,2408,,PRINT
додо промокод,промокод додо пицца,,2363,,PRINT
хофф промокод,промокод хофф,,2231,,PRINT
купоны бургер кинг,промокоды бк,,2221,,PRINT
купоны,промокод,,2213,,PRINT
case battle промокод,промокод кейс батл,,2172,,BRANDED
мелбет купон,мелбет промокод,,2036,,PRINT
купи купон,купикупон,,1978,,PRINT
купоны 1xbet,промокод 1хбет,,1951,,BRANDED
промокод суши вок,суши вок промокод,,1944,,PRINT
промокоды бургер кинг,промокоды бк,,1905,,PRINT
купоны алиэкспресс,промокод алиэкспресс,,1882,,PRINT
промокоды хофф,промокод хофф,,1866,,PRINT
бургер кинг купоны,промокоды бк,,1860,,PRINT
промокод на мелбет на сегодня при регистрации,мелбет промокод,,1694,,PRINT
бонус код для мелбет,мелбет промокод,,1609,,PRINT
пицца суши вок промокоды,пицца суши вок промокод,,1563,,PRINT
промокод на путешествия яндекс отель,промокод яндекс путешествия,,1538,,PRINT
яндекс маркет купоны,промокод яндекс маркет,,1447,,PRINT
промокод хофф на первый заказ,промокод хофф,,1340,,PRINT
купоны яндекс путешествия,промокод яндекс путешествия,,1320,,PRINT
промокод lamoda,промокод ламода,,1253,,BRANDED
промокоды ситилинк,промокод ситилинк,,1222,,PRINT
купон яндекс путешествия,промокод яндекс путешествия,,1175,,PRINT
промокоды hoff,промокод хофф,,1174,,BRANDED
промокод на яндекс еду,промокод яндекс еда,,1149,,PRINT
1xbet зеркало проверка купона,1xbet зеркало проверка купона,,1117,,BRANDED
промокоды теремок,купоны теремок,,1032,,PRINT
купоны ситилинк,промокод ситилинк,,1031,,PRINT
подарочный купон lucky bear казино,luckybear casino фриспины,,1027,,BRANDED
купон яндекс путешествия на скидку промокод,промокод яндекс путешествия,,966,,PRINT
биглион москва официальный сайт купоны,биглион,,949,,NONTARGET
теремок промокоды,купоны теремок,,891,,PRINT
хофф промокоды,промокод хофф,,882,,PRINT
купоны aliexpress,промокод алиэкспресс,,849,,BRANDED
промокод hoff на первый заказ,промокод хофф,,849,,BRANDED
купон,купоны,,848,,PRINT
купоны островок,промокод островок,,846,,PRINT
додо пицца промокоды,промокод додо пицца,,836,,PRINT
биглион купоны,биглион,,830,,PRINT
промокод теремок,купоны теремок,,824,,PRINT
купон золотое яблоко,промокод золотое яблоко,,822,,PRINT
купоны алиэкспресс 2025,промокод алиэкспресс,,819,,PRINT
промокод вкусвилл доставка,промокод вкусвилл,,799,,PRINT
промокоды суши вок,суши вок промокод,,797,,PRINT
купоны яндекс маркет 2025,промокод яндекс маркет,,791,,PRINT
купоны на алиэкспресс,промокод алиэкспресс,,784,,PRINT
купон вкусвилл,промокод вкусвилл,,776,,PRINT
купоны вкусвилл,промокод вкусвилл,,759,,PRINT
теремок купон,купоны теремок,,748,,PRINT
купи купон ру официальный сайт,купикупон,,698,,NONTARGET
купоны aliexpress 2025,промокод алиэкспресс,,678,,BRANDED
промокоды в хофф,промокод хофф,,677,,PRINT
купоны на алиэкспресс 2025,промокод алиэкспресс,,669,,PRINT
купоны теремок в москве,купоны теремок,,644,,PRINT
купон кфс,купоны кфс,,624,,PRINT
промокод на пополнение фонбет,промокод фонбет,,624,,PRINT
купон хофф,промокод хофф,,623,,PRINT
купоны level travel,level travel промокод,,619,,BRANDED
купоны на яндекс маркет,промокод яндекс маркет,,618,,PRINT
купоны м видео,промокод мвидео,,618,,PRINT
купон на мелбет,мелбет промокод,,618,,PRINT
промокод в тануки,промокод тануки,,587,,PRINT
купон на рисование маслом москва,купон на рисование маслом москва,,572,,PRINT
купон 5050,купон 5050,,568,,PRINT
промокод от фонбет,промокод фонбет,,562,,PRINT
бургер кинг промокоды,промокоды бк,,554,,PRINT
суточно ру купоны и промокоды,суточно ру промокод,,547,,PRINT
hoff промокод на скидку,промокод хофф,,544,,BRANDED
купоны бдо,купоны бдо,,534,,PRINT
промокод в умскул на скидку,промокод умскул,,529,,PRINT
купоны мелбет,мелбет промокод,,527,,PRINT
купоны спортмастер,промокод спортмастер,,518,,PRINT
крошка картошка купоны,крошка картошка купоны,,514,,PRINT
промокод в фонбет на сегодня,промокод фонбет,,508,,PRINT
купоны левел тревел,level travel промокод,,502,,PRINT
промокоды в hoff,промокод хофф,,490,,BRANDED
купоны биглион,биглион,,484,,PRINT
купоны кфс на сегодня,купоны кфс,,477,,PRINT
купон lucky bear,luckybear casino фриспины,,476,,BRANDED
купон на яндекс маркет,промокод яндекс маркет,,475,,PRINT
яндекс маркет купоны на скидки,промокод яндекс маркет,,471,,PRINT
купон мелбет,мелбет промокод,,470,,PRINT
яндекс путешествия купон,промокод яндекс путешествия,,460,,PRINT
промокоды hoff и купоны на скидку,промокод хофф,,459,,BRANDED
kfc купоны,купоны кфс,,454,,BRANDED
