query,cluster,group,demand,comp,category
гугл презентации,гугл презентации,,16181,,PRINT
презентация,презентация,,12051,,PRINT
повер поинт онлайн,повер поинт онлайн,,11437,,PRINT
шаблоны для презентаций powerpoint,шаблоны для презентаций powerpoint,,8606,,BRANDED
гамма презентации,gamma,,6502,,PRINT
фон для презентации,фон для презентации,,6477,,PRINT
яндекс таблицы,яндекс таблицы,,4785,,PRINT
презентация онлайн,презентация онлайн создать,,4688,,PRINT
презентация онлайн создать,презентация онлайн создать,,4565,,PRINT
ии для презентаций,презентация нейросеть,,3793,,PRINT
спасибо за внимание для презентации,спасибо за внимание,,3470,,PRINT
gamma ai,gamma,,3448,,BRANDED
гугл презентация,гугл презентации,,3283,,PRINT
создать презентацию,презентация онлайн создать,,2852,,PRINT
ии для создания презентаций,презентация нейросеть,,2786,,PRINT
создать презентацию онлайн,презентация онлайн создать,,2603,,PRINT
купить презентацию,купить презентацию,,2565,,PRINT
презентация apple 2025,презентация apple 2025,,2467,,BRANDED
презентация айфон 17,айфон 17,,2295,,NONTARGET
шаблоны презентаций,шаблоны для презентаций powerpoint,,2159,,INFO
презентации,презентация,,2136,,PRINT
заказать презентацию быстро и недорого,купить презентацию,,2121,,PRINT
купить презентацию на заказ студенту,купить презентацию,,2018,,PRINT
google презентации,гугл презентации,,1914,,BRANDED
картинки для презентации,картинки для презентации,,1705,,PRINT
услуги финансовых организаций и собственный бизнес презентация,услуги финансовых организаций и собственный бизнес презентация,,1699,,PRINT
услуги финансовых организаций и собственный бизнес,услуги финансовых организаций и собственный бизнес,,1698,,PRINT
иконки для презентаций,иконки для презентаций,,1632,,PRINT
шаблон для презентации powerpoint,шаблоны для презентаций powerpoint,,1620,,BRANDED
презентация ии,презентация нейросеть,,1599,,PRINT
ии презентация,презентация нейросеть,,1581,,PRINT
шаблон презентации powerpoint,шаблоны для презентаций powerpoint,,1426,,BRANDED
виды платежных систем презентация,виды платежных систем презентация,,1388,,PRINT
шаблоны для презентаций,шаблоны для презентаций powerpoint,,1378,,INFO
шаблоны презентаций powerpoint,шаблоны для презентаций powerpoint,,1375,,BRANDED
виды международных платежных систем презентация,виды международных платежных систем презентация,,1348,,PRINT
печать презентаций,печать презентаций,,1239,,PRINT
темы для презентаций powerpoint,шаблоны для презентаций powerpoint,,1225,,BRANDED
17 аир айфон,iphone air,,1179,,NONTARGET
яндекс документы онлайн,яндекс документы,,1151,,PRINT
гугл презентации slidy ai,гугл презентации slidy ai,,1137,,BRANDED
яндекс презентации,яндекс презентации,,1121,,PRINT
шаблон презентации,шаблоны для презентаций powerpoint,,1110,,INFO
гугл слайдс,гугл презентации,,1097,,PRINT
