ВСЕГО 1644 запросов, спрос 39811

КАТЕГОРИЯ                                              n    спрос      %
/stickers/emblems                                     36     4828   12.1
EXCLUDE                                             1608    34983   87.9

-- EXCLUDE --
  инфо/нерелевант (лого/спорт/авто/аниме)            n=1588 d=34627
  текстиль (нашивки/вышивка — не наше)               n=  20 d=356

-- ТОП целевых (→/stickers/emblems) --
    781  объемные эмблемы
    778  самоклеящиеся эмблемы
    594  полимерные эмблемы
    476  эмблема с полимерным покрытием
    305  шильдики эмблемы
    197  эмблемы с полимерным покрытием
    176  эмблемы шильдики на авто
    175  шильдики эмблемы логотипы
    172  шильдики наклейки эмблемы на авто
    167  шильдики и эмблемы на авто
    166  автомобильные шильды
    166  эмблемы и шильдики логотипы на автомобиль
    124  шильдики на автомобиль
    102  авто шильдики
     83  эмблема на заказ
